Supply Logistic Cost allocation,,,,,,,,,,,,
Diesel,"2,050.00",,Vehicle,,,,,,,,,
Fuel Price,"1,340.00",,Korope,,Toyota Hiace,,Chevy,,Ford Transit,,Benz Truck,
,,Tonnage,0.70,0.75,1.50,1.5,3.00,2.0,3.00,2.0,7.50,2.00
Location,,Fuel/km,0.250,,0.301, ,0.301,,0.301,,0.500,
2-5km,3.50,,0.88,879.38,1.05,"2,117.54",1.05,"2,823.38",1.05,"2,823.38",1.75,"7,175.00"
6-10k,8.00,,2.00,"2,010.00",2.41,"4,840.08",2.41,"6,453.44",2.41,"6,453.44",4.00,"16,400.00"
11-15km,13.00,,3.25,"3,266.25",3.91,"7,865.13",3.91,"10,486.84",3.91,"10,486.84",6.50,"26,650.00"
15-20km,17.50,,4.38,"4,396.88",5.27,"10,587.68",5.27,"14,116.90",5.27,"14,116.90",8.75,"35,875.00"
25-30km,27.50,,6.88,"6,909.38",8.28,"16,637.78",8.28,"22,183.70",8.28,"22,183.70",13.75,"56,375.00"
35-40km,37.50,,9.38,"9,421.88",11.29,"22,687.88",11.29,"30,250.50",11.29,"30,250.50",18.75,"76,875.00"
40-50km,42.50,,10.63,"10,678.13",12.79,"25,712.93",12.79,"34,283.90",12.79,"34,283.90",21.25,"87,125.00"
50-60km,55.00,,13.75,"13,818.75",16.56,"33,275.55",16.56,"44,367.40",16.56,"44,367.40",27.50,"112,750.00"
