sku,name,confidence,image_file,alternates
AABLKP10,Aace Black Pepper Spices 70g x 12 (Pack),high,Aace Black Pepper Spice 70g x 12 (2).jpg | Aace Black Pepper Spice 70g x 12.jpg,Aace Black Pepper Powder 70g x 12.jpg | Aace Pepper Soup  Spice 70g x 12 (2).jpg | Aace Pepper Soup  Spice 70g x 12.jpg
AACHIKN70,Aace Chicken  Seasoning Powder 70g x 12 (Pack),low,Aace Curry seasoning Powder  100g x 40 (2).jpg,Aace Curry seasoning Powder  100g x 40.jpg | Aace Curry seasoning Powder  3.5g x 200 (2).jpg | Aace Curry seasoning Powder  3.5g x 200 (3).jpg
AACHIL4,Aace Chili Pepper Powder 4g x 120 (Carton),high,Aace Chill Pepper Powder  4g x 120.jpg,Aace Chilli Pepper Powder 60g x12.jpg | Aace Black Pepper Powder 70g x 12.jpg | Aace Chilli Power Powder 60g x 12.jpg
AACHIL60,Aace Chili Pepper Powder 60g x 12 (Pack),high,Aace Chilli Pepper Powder 60g x12.jpg,Aace Chill Pepper Powder  4g x 120.jpg | Aace Chilli Power Powder 60g x 12.jpg | Aace Black Pepper Powder 70g x 12.jpg
ALDYSAR5,All day Sardine 125g x 50 (Carton),none,,
AMDCRF600,Amaizing day Cereal 600g x 12 (Carton),none,,
AMDCSA45,Amaizing day cereal 45g x 100 (Carton),none,,
AYOPF09-2,Ayoola Potato Flour 0.9kg x 10 (Carton),low,AyoolaPotato Flour 0.9kg x 20 (2).jpg,AyoolaPotato Flour 0.9kg x 20.jpg | AyoolaRice Flour 0.9kg x 20.jpg | Ayoola Beans Flour 0.9kg x 20.jpg
BIGBR50,Big Bull Rice 50kg,none,,
BLPLSAR5,Blue Pearl Sardine 125g x 50 (Carton),none,,
COCRM12,Costa Creamer 12g x 200 (Carton),none,,
COTEA2,Costa Tea 2gx25x40 (Carton),none,,
CPSAR5,Cinpak Sardine 125g x 50 (Carton),none,,
CRSPFAT20,Crown Spaghetti fat 500g x 20 (Pack),none,,
CRSPSLIM20,Crown Spaghetti Slim 500g x 20 (Pack),none,,
CSTSAR5,Costa Sardine 125g x 50 (Carton),none,,
CUTOS,Cotonou Sugar 50kg,none,,
DEDOXPR500,Dependox Preservative 500g x 24 (carton),none,,
DGSS500,Dangote Granulated WhiteSugar 500g by 20,high,Dangote Franulated white sugar 500g x 20 (2).jpg | Dangote Granulated White Sugar 500g x 20.jpg,Dangote Franulated white sugar 250g x 40 (2).jpg | Dangote Franulated white sugar 250g x 40.jpg | Dangote Granulated White Sugar 1kg x 10 (2).jpg
DSLT50,Dangote Refined Salt 50kg,none,,
FVSTSAR5,Five Star Sardine 125g x 50 (Carton),none,,
GMKRL50,Geisha Mackerel 155g x 50 (Carton),none,,
GMKRLB50,Geisha Mackerel 425 x 50 (Carton),none,,
GOYOIL250,Goya  Extra Virgin oil 250ml x 25 (carton),none,,
GOYOIL96,Goya Extra Virgin oil 96ml x 36 (carton),none,,
GPCS50,Golden Penny White Cube sugar 500g x 50,none,,
GPF1,Golden Penny Flour 1kg by 10,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPF50,Golden Penny Flour 50kg,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPSO4,Golden Penny Soya oil 4ltr x 6 (carton),none,,
GPSOI1,Golden Penny soya oil 1ltr x12 (carton),none,,
GPSOI27,Golden Penny soya oil 2.7ltr x6 (carton),none,,
GPSOI5,Golden Penny soya oil 5ltr x 4 (carton),none,,
GPSOI750,Golden Penny soya oil 750ml x 12 (carton),none,,
GPSPB250,Golden penny  Bread Spread  250g x 24 (Carton),none,,
GPSPB450,Golden penny Bread Spread 450g x 12 (Carton),none,,
GPSPB900,Golden penny  Bread Spread  900g x 6 (Carton),none,,
GPSPTN20,Golden Penny Spaghettini 500g x 20 (Pack),high,Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg | Golden penny Spaghetti fat 500g x 20.jpg | Golden penny Spaghetti Slim 500g x 20 (2).jpg,Golden penny Spaghetti Slim 500g x 20 (3).jpg | Golden penny Spaghetti Slim 500g x 20.jpg | Golden Penny Pasta Twist 500g x 20 (2).jpg
GPSS1K,Golden penny Granulated White Sugar 1kg x 10,none,,
GPSS250,Golden penny Granulated White Sugar 250g x 40,none,,
GPSS500,Golden penny Granulated White Sugar 500g x 20,none,,
GPSV1O,Golden Penny Semovita 10kg,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPSV1O-2,Golden Penny Semovita 1kg x 10,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPSV2,Golden Penny Semovita 2kg x 5,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPSV5,Golden Penny Semovita 5kg,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPSV500,Golden Penny semovita 500g x 20,low,Golden Penny Pasta Twist 500g x 20 (2).jpg,Golden Penny Pasta Twist 500g x 20.jpg | Golden penny Spaghetti fat 500g x 20 (2).jpg | Golden penny Spaghetti fat 500g x 20 (3).jpg
GPVO1,Golden Penny Vegetable oil 1ltr x12 (carton),none,,
GPVO27,Golden Penny Vegetable  oil 2.7ltr x6 (carton),none,,
GPVO4,Golden Penny Vegetable  oil 4ltr x 6 (carton),none,,
GPVO5,Golden Penny Vegetable  oil 5ltr x 4 (carton),none,,
GPVO75,Golden Penny Vegetable  oil 750ml x 12 (carton),none,,
GRND1,Grand  Pure Soya Oil 1ltr x 12 (carton),none,,
GRND10,Grand oil 10lt,none,,
GRND18,Grand  pure Soya oil 18ltrs,none,,
GRND25,Grand oil 25ltrs,none,,
GRND3,Grand Pure Soya Oil 3ltrs x 6 (carton),none,,
GRND5,Grand  Pure Soya Oil 5ltr x 4 (carton),none,,
HWHT1,Honeywell Wheat 1kgx 10,none,,
HWHT2,Honeywell Wheat 2kg x 5,none,,
HWHT5,Honeywell Wheat  5kg,none,,
INHUP180,Indomie Hungrypack Chicken Flavour 180g x 24 (carton),low,Indomie HungryMan Chicken Flavour 180g x 24 (2).jpg,Indomie HungryMan Chicken Flavour 180g x 24.jpg | Indomie Bellefull Chicken Flavour 280g x 16 (2).jpg | Indomie Bellefull Chicken Flavour 280g x 16.jpg
JCCHFST20,Jara Crunch Cheesy Flavour 20G X 31,high,Jara Crunch Chessy Flavour Sticks 20g x 31 (2).jpg | Jara Crunch Chessy Flavour Sticks 20g x 31.jpg,
JSB15K,Jubi Margarine 15kg (Carton),none,,
JSB250,Jubi Margarine 250g x 60 (Carton),none,,
KGSP250,Kings  Bread spread 250g by 24 (Carton),none,,
KGSP450,Kings Bread spread 450g by 12 (Carton),none,,
MADO15,Mamador Vegetable Oil  1.5ltr x 6 (carton),none,,
MADO25,Mamador Vegetable Oil 2.5ltr x 4 (carton),none,,
MADO35,Mamador Vegetable Oil 3.5ltr x 4 (carton),none,,
MADO900,Mamador Vegetable Oil 900ml x 12 (carton),none,,
MAMAR50,Mama Africa Rice 50kg,none,,
MCS20,Mr Chef salt 1kg x 20,none,,
MCS40,Mr Chef salt 500g x 40,none,,
MCS80,Mr Chef salt 250g x 80,none,,
MGFL50,Mamagold Flour 50kg,none,,
MGRSTC184,Mangrove Sweet corn 184g x 24 (Carton),low,Mangrove Sweetcorn184g x 12 (2).jpg,Mangrove Sweetcorn184g x 12.jpg | Mangrove Sweetcorn 340g x 12 (2).jpg | Mangrove Sweetcorn 340g x 12.jpg
MGRSTC340,Mangrove sweet corn 340g x 12 (Carton),low,Mangrove Sweetcorn 340g x 12 (2).jpg,Mangrove Sweetcorn 340g x 12.jpg | Mangrove Sweetcorn184g x 12 (2).jpg | Mangrove Sweetcorn184g x 12.jpg
MGSMN1,Mamagold Semolina 1kg x 10,none,,
MGSMN10,Mamagold Semolina 10kg,none,,
MGSMN2,Mamagold Semolina 2kg x 5,none,,
MGSMN5,Mamagold Semolina 5kg,none,,
MMDSP250,Mamador  Bread spread 250g by 24 (Carton),none,,
MMDSP450,Mamador  Bread spread 450g by 12 (Carton),none,,
MMSPGFAT20,Mamapride Spaghetti fat 500g x 20 (Pack),none,,
MMSPGSLIM20,Mamapride Spaghetti Slim 500g x 20 (Pack),none,,
MUPUCLLA15,Multi purpose Cleaner Lavenda 1.5ltr x 6 (carton),none,,
MUPUCLLA3,Multi purpose Cleaner Lavenda 3ltr x 4(carton),none,,
MUPUCLLE15,Multi purpose Cleaner  Lemeon 1.5ltr x 6  (carton),none,,
MUPUCLLE3,Multi purpose Cleaner  Lemon 3ltr x 4  (carton),none,,
MUPUCLTA15,Multi purpose Cleaner Tangerine 1.5ltr x 6 (carton),none,,
MUPUCLTA3,Multi purpose Cleaner Tangerine 3ltr x 4 (carton),none,,
NOBLE1,Novex Bleach 1ltr x 12 (carton),none,,
NOBLE500,Novex Bleach 500ml x 24 (carton),none,,
NOBLSA75,Novex Bleach 75ml x 100 sachet (carton),none,,
NODIAP950,Novex Dishwash Apple 950ml x 12 (carton),none,,
NODILE950,Novex Dishwash Lemeon 950ml x 12 (carton),none,,
NOGLCL500,Novex Glass Cleaner 500ml x 12 (carton),none,,
NOTOCL800,Novex Toilet Cleaner 800ml x 12 (carton),none,,
OKBAN2,Okomu Banga Red Palm Oil  2ltr x 6 (Pack),none,,
OKBAN4,Okomu Banga Red Palm Oil 4ltr x 6 (carton),none,,
OLAPY226,Ola-ola Poundo yam flour 2.267 x 8 (Carton),low,Ola Ola Poundo yam Flour 0.907kg x 20.jpg,Ola Ola Poundo yam Flour 2.267kg x 8.jpg | Ola Ola Poundo yam Flour 4.535kg x 4.jpg | ORI OLA FOODS POUNDED YAM FLOUR 0.9kg.jpg
ORIPY09,Oriola Poundo yam flour 0.9kg x 12 (Carton),low,Oriola Pounded Yam Flour 0.9kg x 12 (2).jpg,Oriola Pounded Yam Flour 0.9kg x 12.jpg
PO26,Power Vegetable oil 2.6ltres x 8 (carton),low,Power Vegetable Oil 2.6ltrs x 8 (2).jpg,Power Vegetable Oil 2.6ltrs x 8.jpg | Power Vegetable Oil 4.5ltrs x 4 (2).jpg | Power Vegetable Oil 4.5ltrs x 4.jpg
POLS1L,Power oil lite soya 1ltr x 12 (carton),none,,
POLS3L,Power oil lite soya 3ltr x 6 (carton),none,,
POSA110,PowerVegetable oil sachet 110ml x 40 (carton),high,Power Vegetable Oil Sachets 110ml x 40.jpg,Power Vegetable Oil Sachets 45ml x 96.jpg | POWER OIL 110ml.jpg | POWER OIL 1.4L.jpg
POSA45,Power Vegetable oil sachet 45ml x 96 (carton),high,Power Vegetable Oil Sachets 45ml x 96.jpg,Power Vegetable Oil Sachets 110ml x 40.jpg | Power Vegetable Oil 2.6ltrs x 8 (2).jpg | Power Vegetable Oil 2.6ltrs x 8.jpg
PRNSAR,Prince Sardine 125g x 50 (Carton),none,,
PRONI50,Proudly Nigeria Rice 50kg,none,,
SLCKP5,Slap Cockroach powder 5gx50x 12 (carton),none,,
SLINST300,Slap Insecticides 300ml x 24 (carton),none,,
SLINST600,Slap Insecticides 600ml x 12 (carton),none,,
SNLO19,Sunola Soya Oil 1.9litres x 8 (Carton),none,,
SNLO1L,Sunola Soya Oil 1ltrs x 12 (Carton),none,,
SNLO27,Sunola soya Oil 2.7ltrs x 6 (Carton),none,,
SNLO45,Sunola Soya Oil 4.5ltrs x 4 (Carton),none,,
SNLO5,Sunola Soya Oil 5ltr x4 (Carton),none,,
SOBUT15,Sonia butter 15kg (carton),none,,
SOCHIP5,Sonia Hot Chili pepper Powder 5g x 120 (carton),high,Sonia Hot Chilli peppe Powder 5g x 120.jpg | Sonia Hot Chilli peppe Powder5g x 120.jpg,
SOPEOS55,Sonia Peper and Onions Sachets 55g x 50 (carton),high,Sonia Pepper and Onion Sachets 55g x 50 (2).jpg | Sonia Pepper and Onion Sachets 55g x 50.jpg,Sonia Pepper and Onion Sup 400g x 24.jpg
SOTOMS55,Sonia Tomatoes Mix Sachets 55g x 50 (carton),high,Sonia Tomato Mix  Sachets 55g x 50.jpg,Sonia Tin Tomato Mix 2.2kg x 6.jpg | Sonia Tin Tomato Mix 210g x 48 (2).jpg | Sonia Tin Tomato Mix 210g x 48.jpg
STBAPO454,STK baking powder 454g x 18 (carton),none,,
STROYE500,STK Royal yeast  500g x 20 (carton),none,,
TARBU10,Taroona Butter 10kg,none,,
TEOIL14,Golden Terra Soya oil 1.4ltr x 6 (carton),none,,
TEOIL25,Golden Terra Soya oil 25ltr,none,,
TEOIL3,GoldenTerra Soya oil 3ltr x 6 (carton),low,Active Gold Premiuim Oil 5ltrs x 4 (2).jpg,Active Gold Premiuim Oil 5ltrs x 4.jpg
TEOIL5,Golden Terra Soya oil 5ltr x4 (carton),none,,
TEOIL700,GoldenTerra Soya oil 700ml x 12 (carton),low,Active Gold Premiuim Oil 5ltrs x 4 (2).jpg,Active Gold Premiuim Oil 5ltrs x 4.jpg
TPBT10,Topper Margarine bucket 10kg,none,,
VALCSAR5,Vallencia Sardine 125g x 50 (Carton),none,,
VERYE500,Vera yeast 500g x 20 (carton),none,,
