sku,name,category,price_naira,active
DEDOXPR500,Dependox Preservative 500g x 24 (carton),Baking Items,89000.00,true
STBAPO454,STK baking powder 454g x 18 (carton),Baking Powder,54500.00,true
HWHT5,Honeywell Wheat  5kg,Ball food,5700.00,true
HWHT1,Honeywell Wheat 1kgx 10,Ball food,11300.00,true
HWHT2,Honeywell Wheat 2kg x 5,Ball food,11250.00,true
MGFL50,Mamagold Flour 50kg,Ball food,52000.00,true
MGSMN10,Mamagold Semolina 10kg,Ball food,14000.00,true
MGSMN1,Mamagold Semolina 1kg x 10,Ball food,14300.00,true
MGSMN2,Mamagold Semolina 2kg x 5,Ball food,14300.00,true
MGSMN5,Mamagold Semolina 5kg,Ball food,7100.00,true
COTEA2,Costa Tea 2gx25x40 (Carton),Beverages,14500.00,true
GPSPB250,Golden penny  Bread Spread  250g x 24 (Carton),Butter,18500.00,true
GPSPB900,Golden penny  Bread Spread  900g x 6 (Carton),Butter,13500.00,true
GPSPB450,Golden penny Bread Spread 450g x 12 (Carton),Butter,14500.00,true
JSB15K,Jubi Margarine 15kg (Carton),Butter,34200.00,true
JSB250,Jubi Margarine 250g x 60 (Carton),Butter,41500.00,true
KGSP250,Kings  Bread spread 250g by 24 (Carton),Butter,17600.00,true
KGSP450,Kings Bread spread 450g by 12 (Carton),Butter,25300.00,true
MMDSP250,Mamador  Bread spread 250g by 24 (Carton),Butter,18200.00,true
MMDSP450,Mamador  Bread spread 450g by 12 (Carton),Butter,26100.00,true
SOBUT15,Sonia butter 15kg (carton),Butter,29500.00,true
TARBU10,Taroona Butter 10kg,Butter,48500.00,true
TPBT10,Topper Margarine bucket 10kg,Butter,59500.00,true
ALDYSAR5,All day Sardine 125g x 50 (Carton),Canned Food,41000.00,true
BLPLSAR5,Blue Pearl Sardine 125g x 50 (Carton),Canned Food,41000.00,true
CPSAR5,Cinpak Sardine 125g x 50 (Carton),Canned Food,41000.00,true
CSTSAR5,Costa Sardine 125g x 50 (Carton),Canned Food,41000.00,true
FVSTSAR5,Five Star Sardine 125g x 50 (Carton),Canned Food,40500.00,true
GMKRL50,Geisha Mackerel 155g x 50 (Carton),Canned Food,39000.00,true
GMKRLB50,Geisha Mackerel 425 x 50 (Carton),Canned Food,49000.00,true
